task_id,dag_id,owner_vehicle,arrival_time_s,dispatch_time_s,completion_time_s,e2e_latency_s,workload
0,0,veh0,2.2,2.2,2.2,0,71.9012
1,0,veh0,2.2,2.3,2.3,0.1,69.7762
3,0,veh0,2.2,2.3,2.4,0.2,77.4734
5,1,veh0,2.3,2.3,2.5,0.2,59.6381
2,0,veh0,2.2,2.4,2.6,0.4,72.6886
6,1,veh0,2.3,2.6,2.7,0.4,46.7681
4,0,veh0,2.2,2.7,2.8,0.6,38.9309
7,1,veh0,2.3,2.8,2.9,0.6,46.8736
8,1,veh0,2.3,3,3,0.7,37.2665
9,1,veh0,2.3,3,3.1,0.8,60.7301
10,2,veh1,3.5,3.5,3.5,0,67.5442
11,2,veh1,3.5,3.6,3.6,0.1,72.9875
12,2,veh1,3.5,3.7,3.7,0.2,28.3566
13,3,veh4,5.1,5.1,5.1,0,46.9947
14,3,veh4,5.1,5.2,5.2,0.1,44.4882
15,3,veh4,5.1,5.2,5.3,0.2,66.2957
23,5,veh1,5.3,5.3,5.3,0,71.6017
19,4,veh3,5.2,5.2,5.4,0.2,64.5659
17,3,veh4,5.1,5.4,5.4,0.3,62.5426
16,3,veh4,5.1,5.4,5.5,0.4,29.1758
24,5,veh1,5.3,5.4,5.5,0.2,53.1693
18,3,veh4,5.1,5.5,5.6,0.5,20.9493
25,5,veh1,5.3,5.6,5.6,0.3,34.0174
20,4,veh3,5.2,5.5,5.7,0.5,47.8587
21,4,veh3,5.2,5.5,5.8,0.6,65.2326
22,4,veh3,5.2,5.9,5.9,0.7,27.4563
26,6,veh3,7,7,7,0,27.7862
27,6,veh3,7,7.1,7.1,0.1,41.6489
29,6,veh3,7,7.1,7.2,0.2,54.8815
30,6,veh3,7,7.1,7.3,0.3,34.3909
28,6,veh3,7,7.2,7.4,0.4,35.1395
31,7,veh4,7.4,7.4,7.5,0.1,65.7544
32,7,veh4,7.4,7.6,7.6,0.2,51.9096
33,7,veh4,7.4,7.6,7.7,0.3,42.8085
34,7,veh4,7.4,7.8,7.8,0.4,60.154
35,7,veh4,7.4,7.8,7.9,0.5,42.2051
36,7,veh4,7.4,7.8,8,0.6,29.7323
37,8,veh2,8,8,8.1,0.1,66.3307
38,8,veh2,8,8.2,8.2,0.2,75.9183
39,8,veh2,8,8.3,8.3,0.3,63.7134
41,8,veh2,8,8.3,8.4,0.4,75.581
40,8,veh2,8,8.4,8.5,0.5,75.512
42,9,veh8,9,9,9,0,69.6269
43,9,veh8,9,9.1,9.1,0.1,30.5718
44,9,veh8,9,9.2,9.2,0.2,73.1414
46,9,veh8,9,9.2,9.3,0.3,21.433
47,9,veh8,9,9.2,9.4,0.4,67.9162
45,9,veh8,9,9.3,9.5,0.5,41.2751
48,10,veh9,10.1,10.1,10.1,0,22.9827
50,10,veh9,10.1,10.2,10.2,0.1,42.5948
49,10,veh9,10.1,10.2,10.2,0.1,54.6142
51,11,veh3,14.2,14.2,14.2,0,24.7776
52,11,veh3,14.2,14.3,14.3,0.1,30.8968
53,11,veh3,14.2,14.4,14.4,0.2,24.3874
