task_id,dag_id,owner_vehicle,arrival_time_s,dispatch_time_s,completion_time_s,e2e_latency_s,workload
0,0,veh0,0.7,0.7,0.7,0,57.9643
1,0,veh0,0.7,0.8,0.8,0.1,60.9816
2,0,veh0,0.7,0.8,0.9,0.2,31.0664
4,1,veh0,0.9,0.9,1,0.1,25.7919
3,0,veh0,0.7,1,1.1,0.4,49.6542
5,1,veh0,0.9,1.1,1.2,0.3,55.8047
6,1,veh0,0.9,1.3,1.3,0.4,66.0495
7,1,veh0,0.9,1.4,1.4,0.5,42.0483
8,2,veh1,1.4,1.4,1.4,0,71.1369
9,2,veh1,1.4,1.5,1.5,0.1,33.0362
10,2,veh1,1.4,1.6,1.6,0.2,54.0286
11,3,veh0,1.9,1.9,1.9,0,71.051
12,3,veh0,1.9,2,2,0.1,21.6321
13,3,veh0,1.9,2.1,2.1,0.2,73.2982
14,3,veh0,1.9,2.1,2.2,0.3,62.1225
15,4,veh2,3.2,3.2,3.2,0,41.3452
16,4,veh2,3.2,3.3,3.3,0.1,41.7216
17,4,veh2,3.2,3.4,3.4,0.2,59.7321
19,4,veh2,3.2,3.4,3.5,0.3,78.3746
18,4,veh2,3.2,3.5,3.6,0.4,44.8944
20,5,veh2,4.6,4.6,4.6,0,32.9484
21,5,veh2,4.6,4.7,4.7,0.1,67.8932
22,5,veh2,4.6,4.8,4.8,0.2,74.8349
23,5,veh2,4.6,4.9,4.9,0.3,56.5065
24,6,veh0,5.4,5.4,5.4,0,20.615
25,6,veh0,5.4,5.5,5.5,0.1,37.7103
26,6,veh0,5.4,5.5,5.6,0.2,72.7994
27,6,veh0,5.4,5.6,5.7,0.3,36.4303
28,7,veh1,6.3,6.3,6.3,0,37.1762
29,7,veh1,6.3,6.4,6.4,0.1,52.7524
30,7,veh1,6.3,6.4,6.5,0.2,21.8354
33,8,veh1,6.5,6.5,6.6,0.1,55.2305
31,7,veh1,6.3,6.6,6.7,0.4,23.1334
34,8,veh1,6.5,6.7,6.8,0.3,46.1312
32,7,veh1,6.3,6.8,6.9,0.6,43.709
35,8,veh1,6.5,6.9,7,0.5,45.522
36,8,veh1,6.5,7.1,7.1,0.6,51.544
37,9,veh7,8,8,8,0,76.427
38,9,veh7,8,8.1,8.1,0.1,59.7181
39,9,veh7,8,8.2,8.2,0.2,24.0641
40,10,veh7,9.7,9.7,9.7,0,33.5778
41,10,veh7,9.7,9.8,9.8,0.1,36.8516
42,10,veh7,9.7,9.9,9.9,0.2,69.9897
43,11,veh7,9.9,9.9,10,0.1,46.105
44,11,veh7,9.9,10.1,10.1,0.2,72.8373
45,11,veh7,9.9,10.2,10.2,0.3,79.2383
46,12,veh5,10.4,10.4,10.4,0,22.4761
47,12,veh5,10.4,10.5,10.5,0.1,77.8638
48,12,veh5,10.4,10.6,10.6,0.2,35.5688
49,13,veh5,11.5,11.5,11.5,0,45.7753
52,14,veh0,11.6,11.6,11.6,0,51.1115
50,13,veh5,11.5,11.6,11.6,0.1,25.2428
53,14,veh0,11.6,11.7,11.7,0.1,29.8004
51,13,veh5,11.5,11.7,11.7,0.2,41.7977
54,14,veh0,11.6,11.7,11.8,0.2,50.8641
55,15,veh8,12.7,12.7,12.7,0,41.1928
56,15,veh8,12.7,12.8,12.8,0.1,73.59
60,16,veh5,12.8,12.8,12.9,0.1,76.5452
57,15,veh8,12.7,12.9,13,0.3,63.6217
