time_s,num_vehicles,mean_speed_mps,active_dags,server_100_queue,server_100_latency_ms,server_101_queue,server_101_latency_ms,cum_dispatched,cum_completed
0,1,13.89,0,0,0,0,0,0,0
0.1,1,14.0205,0,0,0,0,0,0,0
0.2,1,14.1862,0,0,0,0,0,0,0
0.3,1,14.3831,0,0,0,0,0,0,0
0.4,1,14.5737,0,0,0,0,0,0,0
0.5,1,14.7102,0,0,0,0,0,0,0
0.6,1,14.6178,0,0,0,0,0,0,0
0.7,1,14.6859,1,0,19.008,0,17.5318,1,1
0.8,1,14.6254,1,0,19.0781,1,17.5145,3,2
0.9,1,14.6921,2,0,19.1484,1,17.4974,5,4
1,2,13.8689,1,0,19.2189,1,17.4806,6,5
1.1,2,13.8462,1,0,19.2189,0,17.4806,6,6
1.2,2,13.8072,1,0,19.3598,0,17.4481,7,7
1.3,2,13.7743,0,0,19.43,0,17.4323,8,8
1.4,2,13.8136,1,0,8.44468,0,23.9021,9,9
1.5,2,13.8444,1,0,8.40494,0,23.9497,10,10
1.6,2,13.8078,0,0,8.36579,0,23.9971,11,11
1.7,2,13.8304,0,0,8.36579,0,23.9971,11,11
1.8,2,13.7901,0,0,8.36579,0,23.9971,11,11
1.9,2,13.8165,1,0,19.8525,0,17.3449,12,12
2,3,13.839,1,0,19.923,0,17.3315,13,13
2.1,3,13.8634,1,0,19.9932,1,17.3185,15,14
2.2,3,13.8252,0,0,19.9932,0,17.3185,15,15
2.3,3,13.8869,0,0,19.9932,0,17.3185,15,15
2.4,3,13.8807,0,0,19.9932,0,17.3185,15,15
2.5,3,13.851,0,0,19.9932,0,17.3185,15,15
2.6,3,13.8309,0,0,19.9932,0,17.3185,15,15
2.7,3,13.8808,0,0,19.9932,0,17.3185,15,15
2.8,3,13.8271,0,0,19.9932,0,17.3185,15,15
2.9,3,13.8954,0,0,19.9932,0,17.3185,15,15
3,4,13.8503,0,0,19.9932,0,17.3185,15,15
3.1,4,13.9184,0,0,19.9932,0,17.3185,15,15
3.2,4,13.9611,1,0,30.429,0,10.3393,16,16
3.3,4,14.017,1,0,30.396,0,10.395,17,17
3.4,4,14.0547,1,0,30.3634,1,10.4506,19,18
3.5,4,14.0966,1,0,30.3308,1,10.5066,20,19
3.6,4,14.1577,0,0,30.3308,0,10.5066,20,20
3.7,4,14.1373,0,0,30.3308,0,10.5066,20,20
3.8,4,14.1458,0,0,30.3308,0,10.5066,20,20
3.9,4,14.1519,0,0,30.3308,0,10.5066,20,20
4,5,14.1022,0,0,30.3308,0,10.5066,20,20
4.1,5,14.1503,0,0,30.3308,0,10.5066,20,20
4.2,5,14.1669,0,0,30.3308,0,10.5066,20,20
4.3,5,14.1709,0,0,30.3308,0,10.5066,20,20
4.4,5,14.1666,0,0,30.3308,0,10.5066,20,20
4.5,5,14.1791,0,0,30.3308,0,10.5066,20,20
4.6,5,14.1726,1,0,29.9817,0,11.1344,21,21
4.7,5,14.1433,1,0,29.951,0,11.1923,22,22
4.8,5,14.206,1,0,29.9201,0,11.2508,23,23
4.9,5,14.2016,0,0,29.8893,0,11.3095,24,24
5,6,13.7515,0,0,29.8893,0,11.3095,24,24
5.1,6,13.7442,0,0,29.8893,0,11.3095,24,24
5.2,6,13.7381,0,0,29.8893,0,11.3095,24,24
5.3,6,13.7325,0,0,29.8893,0,11.3095,24,24
5.4,6,13.7281,1,0,22.3328,0,17.0824,25,25
5.5,6,13.7152,1,0,22.4039,1,17.0813,27,26
5.6,6,13.7027,1,0,22.4748,1,17.0805,28,27
5.7,6,13.7296,0,0,22.4748,0,17.0805,28,28
5.8,6,13.7141,0,0,22.4748,0,17.0805,28,28
5.9,6,13.6959,0,0,22.4748,0,17.0805,28,28
6,7,13.7162,0,0,22.4748,0,17.0805,28,28
6.1,7,13.7634,0,0,22.4748,0,17.0805,28,28
6.2,7,13.8315,0,0,22.4748,0,17.0805,28,28
6.3,7,13.8053,1,0,7.14114,0,26.3231,29,29
6.4,7,13.8233,1,1,7.13154,0,26.3744,31,30
6.5,7,13.8144,2,2,7.12279,0,26.4257,33,31
6.6,7,13.8207,2,1,7.12279,0,26.4257,33,32
6.7,7,13.8274,2,1,7.10764,0,26.5288,34,33
