task_id,dag_id,owner_vehicle,arrival_time_s,dispatch_time_s,completion_time_s,e2e_latency_s,workload
0,0,veh0,0,0,0,0,27.2797
1,0,veh0,0,0.1,0.1,0.1,46.2237
4,0,veh0,0,0.1,0.2,0.2,36.7092
5,0,veh0,0,0.2,0.3,0.3,65.9496
2,0,veh0,0,0.2,0.4,0.4,32.4346
3,0,veh0,0,0.5,0.5,0.5,21.7926
6,1,veh1,1.6,1.6,1.6,0,53.4704
7,1,veh1,1.6,1.7,1.7,0.1,33.5033
8,1,veh1,1.6,1.8,1.8,0.2,64.8894
11,2,veh0,1.9,1.9,1.9,0,41.7306
9,1,veh1,1.6,1.8,1.9,0.3,59.2179
12,2,veh0,1.9,2,2,0.1,64.8048
10,1,veh1,1.6,1.9,2,0.4,68.6737
13,2,veh0,1.9,2.1,2.1,0.2,38.9771
14,2,veh0,1.9,2.2,2.2,0.3,52.4072
15,3,veh0,2.4,2.4,2.4,0,21.5616
16,3,veh0,2.4,2.5,2.5,0.1,75.0818
17,3,veh0,2.4,2.6,2.6,0.2,24.3537
18,3,veh0,2.4,2.7,2.7,0.3,26.0063
19,4,veh2,4.9,4.9,4.9,0,75.6762
21,4,veh2,4.9,5,5,0.1,54.3343
20,4,veh2,4.9,5,5.1,0.2,49.1057
22,4,veh2,4.9,5,5.2,0.3,27.237
23,5,veh2,7.5,7.5,7.5,0,53.6592
25,5,veh2,7.5,7.6,7.6,0.1,38.8291
24,5,veh2,7.5,7.6,7.7,0.2,25.6929
26,5,veh2,7.5,7.7,7.8,0.3,29.2244
27,6,veh0,8.7,8.7,8.7,0,69.9057
29,6,veh0,8.7,8.8,8.8,0.1,46.6153
28,6,veh0,8.7,8.8,8.9,0.2,38.8792
30,7,veh0,9.1,9.1,9.1,0,71.2538
31,7,veh0,9.1,9.2,9.2,0.1,63.2091
32,7,veh0,9.1,9.2,9.3,0.2,22.7298
33,7,veh0,9.1,9.4,9.4,0.3,38.2812
34,8,veh1,9.5,9.5,9.5,0,23.7368
35,8,veh1,9.5,9.6,9.6,0.1,46.7486
36,8,veh1,9.5,9.7,9.7,0.2,32.7737
37,8,veh1,9.5,9.8,9.8,0.3,79.5754
38,9,veh7,10.4,10.4,10.4,0,20.7653
39,9,veh7,10.4,10.5,10.5,0.1,76.5149
40,9,veh7,10.4,10.6,10.6,0.2,60.7701
41,10,veh7,10.7,10.7,10.7,0,42.3188
43,10,veh7,10.7,10.8,10.8,0.1,65.6385
42,10,veh7,10.7,10.8,10.9,0.2,28.0531
45,11,veh6,10.9,10.9,10.9,0,39.5758
44,10,veh7,10.7,11,11,0.3,20.0287
46,11,veh6,10.9,11,11,0.1,26.0347
47,11,veh6,10.9,11.1,11.1,0.2,23.6924
48,12,veh10,11.8,11.8,11.8,0,60.5598
54,13,veh2,11.9,11.9,11.9,0,74.8628
49,12,veh10,11.8,11.9,11.9,0.1,60.2942
56,13,veh2,11.9,12,12,0.1,73.7444
51,12,veh10,11.8,11.9,12,0.2,21.6219
55,13,veh2,11.9,12,12.1,0.2,32.3384
50,12,veh10,11.8,12,12.1,0.3,40.4199
57,13,veh2,11.9,12.1,12.2,0.3,71.7563
58,14,veh10,12,12,12.2,0.2,30.3935
52,12,veh10,11.8,12.1,12.3,0.5,69.394
59,14,veh10,12,12.3,12.4,0.4,27.5862
61,14,veh10,12,12.3,12.5,0.5,57.7305
53,12,veh10,11.8,12.4,12.6,0.8,62.8932
60,14,veh10,12,12.5,12.7,0.7,67.4714
64,15,veh6,12.5,12.5,12.8,0.3,57.6815
63,14,veh10,12,12.6,12.9,0.9,53.442
69,16,veh5,12.7,12.7,13,0.3,50.3111
62,14,veh10,12,12.8,13.1,1.1,57.0149
72,17,veh12,13.2,13.2,13.2,0,45.1636
65,15,veh6,12.5,12.9,13.2,0.7,29.876
73,17,veh12,13.2,13.3,13.3,0.1,76.7364
71,16,veh5,12.7,13.1,13.3,0.6,64.8003
76,17,veh12,13.2,13.3,13.4,0.2,77.3267
70,16,veh5,12.7,13.1,13.4,0.7,58.3178
